StationID,StationName,DisplayName,Latitude,Longitude,Elevation,City,ZipCode,TzTimeZone,StateCode,StateDesc,CountryCode,CountryDesc,CountyName
2751,KBFI,Seattle Boeing Field,47.53,-122.302,16,Seattle,98108,US/Pacific,WA,Washington,US,United States of America,King
4360,KRNT,Renton Municipal Airport,47.4931,-122.2157,30,Renton,98178,US/Pacific,WA,Washington,US,United States of America,King
4508,KSMP,Stampede Pass,47.28,-121.33,3963,Stampede Pass,98922,US/Pacific,WA,Washington,US,United States of America,King
4293,KPWT,Bremerton National Automatic Reporting Station,47.5,-122.75,482,Bremerton,98312,US/Pacific,WA,Washington,US,United States of America,Kitsap
3142,KELN,Bowers Field Airport,47.033,-120.5306,1764,Ellensburg,98926,US/Pacific,WA,Washington,US,United States of America,Kittitas
3111,KEAT,Pangborn Memorial Airport,47.4,-120.2,1243,Wenatchee,98802,US/Pacific,WA,Washington,US,United States of America,Kittitas
4470,KSHN,Shelton Sanderson Field,47.23,-123.15,279,Shelton,98584,US/Pacific,WA,Washington,US,United States of America,Mason
4089,KOMK,Omak,48.4644,-119.5181,1302,Omak,98841,US/Pacific,WA,Washington,US,United States of America,Okanogan
4438,KSEA,Seattle -Tacoma International Airport,47.45,-122.3,449,Seattle,98158,US/Pacific,WA,Washington,US,United States of America,Pierce
27137,KPLU,Pierce County Airport - Thun Field,47.1039,-122.2871,538,Puyallup,98375,US/Pacific,WA,Washington,US,United States of America,Pierce
4111,KORS,Eastsound,48.71,-122.9,26,Eastsound,98245,US/Pacific,WA,Washington,US,United States of America,San Juan
3231,KFHR,Friday Harbor Airport,48.52,-123.02,108,Friday Harbor,98250,US/Pacific,WA,Washington,US,United States of America,San Juan
6389,KBVS,Skagit  Regional Airport,48.47,-122.42,44,Bay View,98232,US/Pacific,WA,Washington,US,United States of America,Skagit
4448,KSFF,Felts Field,47.6828,-117.3226,1952,Spokane,99212,US/Pacific,WA,Washington,US,United States of America,Spokane
4485,KSKA,Fairchild Air Force Base,47.6151,-117.6558,2461,Spokane,99011,US/Pacific,WA,Washington,US,United States of America,Spokane
3311,KGEG,Spokane International Airport,47.6214,-117.5278,2365,Spokane,99224,US/Pacific,WA,Washington,US,United States of America,Spokane
3035,KDEW,Deer Park Airport,47.9742,-117.4283,2205,Deer Park,99006,US/Pacific,WA,Washington,US,United States of America,Spokane
3349,KGRF,Gray AAF,47.0792,-122.5808,302,Fort Lewis Military Reserve,98433,US/Pacific,WA,Washington,US,United States of America,Thurston
